entry,Ligand_Names,Ligand_SMILES,Base_SMILES,Solvent_SMILES,yield
15,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,OC([O-])=O.[Na+],N#CC,2.46
16,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,OC([O-])=O.[Na+],N#CC,5.27
17,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,OC([O-])=O.[Na+],N#CC,1.96
18,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,OC([O-])=O.[Na+],N#CC,3.35
19,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,OC([O-])=O.[Na+],N#CC,69.22
20,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],OC([O-])=O.[Na+],N#CC,5.1
21,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,OC([O-])=O.[Na+],N#CC,83.19
22,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],OC([O-])=O.[Na+],N#CC,13.68
23,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,OC([O-])=O.[Na+],N#CC,1.82
25,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,[Cs+].[F-],N#CC,1.79
26,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,[Cs+].[F-],N#CC,4.36
27,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,[Cs+].[F-],N#CC,2.71
28,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,[Cs+].[F-],N#CC,6.49
29,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[Cs+].[F-],N#CC,2.1
30,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,[Cs+].[F-],N#CC,3.32
31,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,[Cs+].[F-],N#CC,68.44
32,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],[Cs+].[F-],N#CC,5.84
33,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,[Cs+].[F-],N#CC,73.02
34,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],[Cs+].[F-],N#CC,13.2
35,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,[Cs+].[F-],N#CC,2.1
37,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,3
38,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,4.73
39,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,2.58
40,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,5.83
41,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,1.88
42,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,3.69
43,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,53.34
44,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,5.8
45,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,60.67
46,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,14.39
47,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,O=P([O-])([O-])[O-].[K+].[K+].[K+],N#CC,2.27
49,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,[K+].[OH-],N#CC,5.6
50,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,[K+].[OH-],N#CC,4.82
51,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,[K+].[OH-],N#CC,2.49
52,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,[K+].[OH-],N#CC,6.46
53,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[K+].[OH-],N#CC,2.06
54,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,[K+].[OH-],N#CC,3.22
55,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,[K+].[OH-],N#CC,78.42
56,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],[K+].[OH-],N#CC,8.94
57,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,[K+].[OH-],N#CC,92.22
58,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],[K+].[OH-],N#CC,14.22
59,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,[K+].[OH-],N#CC,2.35
61,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,CC([O-])C.[Li+],N#CC,7.08
62,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC([O-])C.[Li+],N#CC,5.45
63,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,CC([O-])C.[Li+],N#CC,1.99
64,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC([O-])C.[Li+],N#CC,6.08
65,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,CC([O-])C.[Li+],N#CC,2.45
66,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,CC([O-])C.[Li+],N#CC,3.57
67,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CC([O-])C.[Li+],N#CC,85.77
68,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],CC([O-])C.[Li+],N#CC,9.78
69,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC([O-])C.[Li+],N#CC,92.83
70,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],CC([O-])C.[Li+],N#CC,15.41
71,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CC([O-])C.[Li+],N#CC,2.43
73,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,CCN(CC)CC,N#CC,7.82
74,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCN(CC)CC,N#CC,6.14
75,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,CCN(CC)CC,N#CC,2.13
76,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCN(CC)CC,N#CC,5.05
77,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,CCN(CC)CC,N#CC,1.98
78,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,CCN(CC)CC,N#CC,4.47
79,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCN(CC)CC,N#CC,78.96
80,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],CCN(CC)CC,N#CC,7
81,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CCN(CC)CC,N#CC,90.3
82,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],CCN(CC)CC,N#CC,15.36
83,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CCN(CC)CC,N#CC,2.51
97,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,[Na+].[OH-],C1COCC1,33.79
98,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,[Na+].[OH-],C1COCC1,8.08
99,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,[Na+].[OH-],C1COCC1,61.2
100,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,[Na+].[OH-],C1COCC1,69.94
101,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[Na+].[OH-],C1COCC1,7.2
102,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,[Na+].[OH-],C1COCC1,79.47
103,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,[Na+].[OH-],C1COCC1,87.06
104,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],[Na+].[OH-],C1COCC1,12.7
105,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,[Na+].[OH-],C1COCC1,88.97
106,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],[Na+].[OH-],C1COCC1,27.93
107,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,[Na+].[OH-],C1COCC1,6.11
109,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,OC([O-])=O.[Na+],C1COCC1,66.74
110,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,OC([O-])=O.[Na+],C1COCC1,8.11
111,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,OC([O-])=O.[Na+],C1COCC1,57.48
112,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,OC([O-])=O.[Na+],C1COCC1,61.89
113,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,OC([O-])=O.[Na+],C1COCC1,2.23
114,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,OC([O-])=O.[Na+],C1COCC1,70.45
115,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,OC([O-])=O.[Na+],C1COCC1,79.85
116,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],OC([O-])=O.[Na+],C1COCC1,9.6
117,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,OC([O-])=O.[Na+],C1COCC1,80.77
118,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],OC([O-])=O.[Na+],C1COCC1,19.24
119,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,OC([O-])=O.[Na+],C1COCC1,5.2
121,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,[Cs+].[F-],C1COCC1,39.17
122,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,[Cs+].[F-],C1COCC1,7.24
123,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,[Cs+].[F-],C1COCC1,44.98
124,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,[Cs+].[F-],C1COCC1,50.95
125,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[Cs+].[F-],C1COCC1,2.23
126,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,[Cs+].[F-],C1COCC1,61.29
127,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,[Cs+].[F-],C1COCC1,60.83
128,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],[Cs+].[F-],C1COCC1,9.94
129,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,[Cs+].[F-],C1COCC1,53.52
130,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],[Cs+].[F-],C1COCC1,18.18
131,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,[Cs+].[F-],C1COCC1,3.68
133,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,41.23
134,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,6.66
135,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,33.02
136,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,50.06
137,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,2.68
138,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,55.85
139,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,47.94
140,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,9.37
141,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,52.33
142,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,20.18
143,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCC1,4.25
145,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,[K+].[OH-],C1COCC1,48.56
146,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,[K+].[OH-],C1COCC1,7.77
147,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,[K+].[OH-],C1COCC1,42.73
148,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,[K+].[OH-],C1COCC1,55.08
149,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[K+].[OH-],C1COCC1,3.03
150,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,[K+].[OH-],C1COCC1,62.33
151,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,[K+].[OH-],C1COCC1,73.31
152,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],[K+].[OH-],C1COCC1,12.3
153,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,[K+].[OH-],C1COCC1,72
154,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],[K+].[OH-],C1COCC1,26.14
155,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,[K+].[OH-],C1COCC1,4.54
157,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,CC([O-])C.[Li+],C1COCC1,66.16
158,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC([O-])C.[Li+],C1COCC1,9.92
159,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,CC([O-])C.[Li+],C1COCC1,58.51
160,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC([O-])C.[Li+],C1COCC1,78.15
161,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,CC([O-])C.[Li+],C1COCC1,5.12
162,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,CC([O-])C.[Li+],C1COCC1,62.02
163,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CC([O-])C.[Li+],C1COCC1,85.95
164,"Ferrocene,1,1'-bis[bis(1,1-dimethylethyl)phosphino]",CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],CC([O-])C.[Li+],C1COCC1,13.91
165,Xphos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC([O-])C.[Li+],C1COCC1,85.21
166,"1,1-BIS(Diphenylphosphino)Ferrocene",[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],CC([O-])C.[Li+],C1COCC1,26.83
167,Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CC([O-])C.[Li+],C1COCC1,0
169,P(t-Bu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,CCN(CC)CC,C1COCC1,68.72
170,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCN(CC)CC,C1COCC1,10.16
171,Aphos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,CCN(CC)CC,C1COCC1,48.8
172,Tricyclohexylphosphine,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCN(CC)CC,C1COCC1,82.65
173,P(o-tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,CCN(CC)CC,C1COCC1,5.97
174,"Di-(3s,5s,7s)-adamantan-1-yl(butyl)phosphine",CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,CCN(CC)CC,C1COCC1,80.74
175,Sphos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCN(CC)CC,C1COCC1,87.82
